午夜频道(114.06.07),#genre#
日本映画専門チャンネル,https://stream02.willfonk.com/live_playlist.m3u8?cid=BS255&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1#https://stream01.willfonk.com/live_playlist.m3u8?cid=BS255&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
東映チャンネル,https://stream02.willfonk.com/live_playlist.m3u8?cid=CS218&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1#https://stream01.willfonk.com/live_playlist.m3u8?cid=CS218&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59d
东映チャンネルhttp://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs27
チャンネルNECO,https://stream02.willfonk.com/live_playlist.m3u8?cid=CS223&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1#https://stream01.willfonk.com/live_playlist.m3u8?cid=CS223&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59d#https://stream01.willfonk.com/live_playlist.m3u8?cid=CS223&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
动物世界,http://v2.catcast.tv/content/40546/index.m3u8


台湾频道_1818,#genre#
松視1台,http://ali.hlspull.yximgs.com:80/live/da65af872ef710d9cd4dddec14631eac.flv

松視2台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/stream-1337006443-1337006443-4ecc322e191a9689e7e4f503117a9e39-9078192192-10057-A-0-1.flv

松視3台,http://ali.hlspull.yximgs.com:80/live/d19ca6e6b19c9bf461d861dafaf356c6.flv

松視4台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/stream-8617122102-8617122102-c5769c977bf756e775a7b79f3fc9d72d-2614932201-10057-A-0-1.flv
松視4台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/stream-8617122102-8617122102-c5769c977bf756e775a7b79f3fc9d72d-2614932201-10057-A-0-1.flv

happy,http://ali.hlspull.yximgs.com:80/live/98f94700935912b511a14422039d3d05.flv

香蕉,http://ali.hlspull.yximgs.com:80/live/bc95b6a7414411338afe131bec5b110d.flv
香蕉,http://ali.hlspull.yximgs.com:80/live/e8ca161fb933c424a984bc96d699adce.flv

惊艳,http://ali.hlspull.yximgs.com:80/live/b672a4c1ba201014732a5124872fce4a.flv
惊艳,http://1tv41.icu:8080/LaLa34@yahoo.com/LaLa7678/159958

潘朵拉,http://ali.hlspull.yximgs.com:80/live/555c139abc101e05b60e5fea10b30eb3.flv
潘朵拉,http://ali.hlspull.yximgs.com:80/live/33ee6f09106a157c335558040a626842.flv
潘朵啦,http://push-rtmp-hs-spe-f5.douyincdn.com/live/stream-8914473628-8914473628-173e52790be4b8ac95c2a691fbe2c9b6-2751931933-10057-A-0-1.flv

彩虹电影,http://ali.hlspull.yximgs.com:80/live/5fe3a1b75993be83956e3d17b6d925ff.flv
彩虹电影,http://ali.hlspull.yximgs.com:80/live/17c82bfd1d296d75a855f6f575500864.flv
彩虹电影,http://push-rtmp-hs-spe-f5.douyincdn.com/live/stream-9817045316-9817045316-2e024635d43ee9c619f34ff011374d50-6002488944-10057-A-0-1.flv

彩虹k频道,http://ali.hlspull.yximgs.com:80/live/9a09cfd14a8b1ad18dbd61f286fa81b8.flv

彩虹e频道,http://ali.hlspull.yximgs.com:80/live/0377d6869f56f7af77f91da3714f3e84.flv

極限,http://ali.hlspull.yximgs.com:80/live/2d7b99b886a1d12286c641d11cb0b283.flv
極限,http://ali.hlspull.yximgs.com:80/live/de74f001fa638349eafe6bf6ff18acaa.flv

pigoo,http://ali.hlspull.yximgs.com:80/live/e1d0b7c095d39aca00e75858c7485f4d.flv
pigoo,https://luong.utako.moe/pigoo/index.m3u8 

Zoom tv,http://185.236.229.62:9981/play/a02a

3,https://live.iptvxxx.net/siptarskaGOVNA.m3u8



亚洲情色_1818,#genre#
Asian.34,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21885.mp4
Asian.35,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21886.mp4
Asian.36,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21887.mp4
Asian.37,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21888.mp4
Asian.38,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21889.mp4
Asian.39,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21890.mp4
Asian.40,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21891.mp4
Asian.41,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21892.mp4
Asian.42,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21893.mp4
Asian.43,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21894.mp4
Asian.44,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21895.mp4
Asian.45,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21896.mp4
Asian.46,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21897.mp4
Asian.47,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21898.mp4
Asian.48,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21899.mp4
Asian.49,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21900.mp4
Asian.50,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21901.mp4
Asian.51,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21902.mp4
Asian.52,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21903.mp4
Asian.53,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21904.mp4
Asian.54,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21905.mp4
Asian.55,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21906.mp4
Asian.56,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21907.mp4
Asian.57,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21908.mp4
Asian.58,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21909.mp4
Asian.59,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21910.mp4
Asian.60,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21911.mp4
Asian.61,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21912.mp4
Asian.62,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21913.mp4
Asian.63,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21914.mp4
Asian.64,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21915.mp4
Asian.65,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21916.mp4
Asian.66,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21917.mp4
Asian.67,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21918.mp4
Asian.68,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21919.mp4
Asian.69,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21920.mp4
Asian.70,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21921.mp4
Asian.71,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21922.mp4
Asian.72,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21923.mp4
Asian.73,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21924.mp4
Asian.74,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21925.mp4
Asian.75,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21926.mp4
Asian.76,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21927.mp4
Asian.77,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21928.mp4
Asian.78,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21929.mp4
Asian.79,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21930.mp4
Asian.80,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21931.mp4
Asian.81,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21932.mp4
Asian.82,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21933.mp4
Asian.83,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21934.mp4
Asian.84,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21935.mp4
Asian.85,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21936.mp4
Asian.86,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21937.mp4
Asian.87,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21938.mp4
Asian.88,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21939.mp4
Asian.89,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21940.mp4
Asian.90,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21941.mp4
Asian.91,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21942.mp4
Asian.92,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21943.mp4
Asian.93,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21944.mp4
Asian.94,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21945.mp4
Asian.95,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21946.mp4
Asian.96,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21947.mp4
Asian.97,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21948.mp4
Asian.98,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21949.mp4
Asian.99,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21950.mp4
Asian.100,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21951.mp4
Asian.101,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21952.mp4
Asian.102,http://vip.mkrtv.com:8080/movie/Mario.Mayer.1986/nYFQDvXz93/21953.mp4
