欣赏频道,#genre#
抖音姐姐热舞,http://43.138.170.29:35455/douyu/11531165
粤语动画电影,http://43.138.170.29:35455/douyu/6462389
国语译制电影,http://43.138.170.29:35455/douyu/2436390
4K画质播电影,http://43.138.170.29:35455/douyu/9249162
第一滴血全集,http://43.138.170.29:35455/yy/1354932355
的士速递全集,http://43.138.170.29:35455/yy/1382749910
速度与激情集,http://43.138.170.29:35455/yy/1382736911
漫威系列轮播,http://43.138.170.29:35455/yy/1354932402
美剧解说轮播,http://43.138.170.29:35455/douyu/9643264
经典美剧解说,http://43.138.170.29:35455/douyu/9123570
雪中悍刀行剧,http://1.62.64.252/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/tx.flv.huya.com/src/1388457235-1388457235-5963378416219586560-2777037926-10057-A-0-1.flv?wsSecret=b0d6455232e2fc7e6542d63d4d274887&wsTime=65f0a0f3&fm=RFdxOEJjSjNoNkRKdDZUWV8kMF8kMV8kMl8kMw%3D%3D&ctype=huya_live&txyp=o%3Awx91%3B&fs=bgct
庆余年电视剧,http://1.62.64.252/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/tx.flv.huya.com/src/1423787860-1423787860-6115122295141826560-2847699176-10057-A-0-1.flv?ctype=tars_mp&exsphd=264_500%2C264_2000%2C&fm=RFdxOEJjSjNoNkRKdDZUWV8kMF8kMV8kMl8kMw%3D%3D&ctype=huya_live&txyp=o%3Awx91%3B&fs=bgct
83神雕侠侣版,http://43.138.170.29:35455/douyu/2073
83射雕英雄传,http://43.138.170.29:35455/yy/1354210357
96笑傲江湖版,http://1.62.64.252/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/tx.flv.huya.com/src/1199563481280-1199563481280-5444325008543318016-2399127086016-10057-A-0-1.flv?wsSecret=d658ed32069a22b36fa74105b3301269&wsTime=65f0b35b&fm=RFdxOEJjSjNoNkRKdDZUWV8kMF8kMV8kMl8kMw%3D%3D&ctype=huya_live&txyp=o%3Awx91%3B&fs=bgct
87经典红楼梦,http://43.138.170.29:35455/yy/1382745084
新白娘子传奇,http://43.138.170.29:35455/yy/1354930969
仙剑奇侠传剧,http://43.138.170.29:35455/yy/1382749903
花千骨电视剧,http://43.138.170.29:35455/yy/1354943110
少年歌行剧集,http://43.138.170.29:35455/yy/1450556636
鹊刀门传奇剧,http://43.138.170.29:35455/yy/1355344777
开端电视循环,http://1.62.64.252/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/tx.flv.huya.com/src/1448738224-1448738224-6222283292545122304-2789253866-10057-A-0-1.flv?wsSecret=31ff1ef9c17487ccd58fe413dc755aba&wsTime=65f0b4ac&fm=RFdxOEJjSjNoNkRKdDZUWV8kMF8kMV8kMl8kMw%3D%3D&ctype=huya_live&txyp=o%3Awx91%3B&fs=bgct
我的体育老师,http://43.138.170.29:35455/yy/1382745169
欢乐颂电视剧,http://43.138.170.29:35455/douyu/3756989
好先生电视剧,http://43.138.170.29:35455/douyu/9650792
我的前半生剧,http://43.138.170.29:35455/yy/1382735564
伪装者电视剧,http://43.138.170.29:35455/yy/1354936244
新雪豹电视剧,http://43.138.170.29:35455/yy/28099939
风筝电视轮播,http://43.138.170.29:35455/yy/1354931585
三部僵约轮播,http://43.138.170.29:35455/douyu/9470198
科幻梦工场播,http://1.62.64.252/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/tx.flv.huya.com/src/94525224-2682536056-11521404630860824576-3512313440-10057-A-0-1.flv?wsSecret=229ce20799a0260b597e38b335febd99&wsTime=65f0e53b&fm=RFdxOEJjSjNoNkRKdDZUWV8kMF8kMV8kMl8kMw%3D%3D&ctype=huya_live&txyp=o%3Awx91%3B&fs=bgct
科幻Fans轮播,http://43.138.170.29:35455/douyu/3508304
科幻解说轮播,http://43.138.170.29:35455/douyu/9338839
脱口秀大会播,http://1.62.64.252/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/tx.flv.huya.com/src/1423782031-1423782031-6115097259777458176-2847687518-10057-A-0-1.flv?wsSecret=996e2b7aeda4fae8f9603371f7a179f7&wsTime=65f0a89d&fm=RFdxOEJjSjNoNkRKdDZUWV8kMF8kMV8kMl8kMw%3D%3D&ctype=huya_live&txyp=o%3Awx91%3B&fs=bgct
吐槽大会一季,http://1.62.64.252/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/tx.flv.huya.com/src/1099531752750-1099531752750-86436105162850304-2199063628956-10057-A-0-1.flv?wsSecret=59fd137fe945dfe1aa3c7fa2c2511bf8&wsTime=65f0e278&fm=RFdxOEJjSjNoNkRKdDZUWV8kMF8kMV8kMl8kMw%3D%3D&ctype=huya_live&txyp=o%3Awx91%3B&fs=bgct
吐槽大会二季,http://43.138.170.29:35455/yy/1354936145
吐槽大会五季,http://43.138.170.29:35455/yy/1354889009
娱乐扒叔轮播,http://43.138.170.29:35455/douyu/9624581
粤语剧集轮播,http://43.138.170.29:35455/douyu/10338873
粤语港剧轮播,http://43.138.170.29:35455/douyu/6478650
粤语港剧回忆,http://43.138.170.29:35455/douyu/742565
粤语轮播港剧,http://43.138.170.29:35455/douyu/9019945
粤语轮播剧集,http://43.138.170.29:35455/douyu/10567318
粤语经典综艺,http://43.138.170.29:35455/douyu/7919720
粤语星爷经典,http://1.62.64.252/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/tx.flv.huya.com/src/1250011-1250011-5368756364640256-2777036638-10057-A-0-1.flv?wsSecret=fd236ea2a369b6b6436d22bf10c821a6&wsTime=65f0a768&fm=RFdxOEJjSjNoNkRKdDZUWV8kMF8kMV8kMl8kMw%3D%3D&ctype=huya_live&txyp=o%3Awx91%3B&fs=bgct
粤语极清电影,https://pull-ws1.haixing.tv/live/7765_1710181713.flv
粤语版电影一,http://43.138.170.29:35455/douyu/5033502
粤语版电影二,http://43.138.170.29:35455/douyu/6566671
粤语版电影三,http://43.138.170.29:35455/douyu/1226741
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
童年回忆,#genre#
龙珠全集解说,http://1.62.64.252/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/tx.flv.huya.com/src/2293333915-2293333915-9849794163732643840-4586791286-10057-A-0-1.flv?wsSecret=634ddd204a8cd874bafdb4a6035eda1d&wsTime=65f0a634&fm=RFdxOEJjSjNoNkRKdDZUWV8kMF8kMV8kMl8kMw%3D%3D&ctype=huya_live&txyp=o%3Awx91%3B&fs=bgct
龙珠剧场解说,http://1.62.64.252/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/tx.flv.huya.com/src/1199599168151-1199599168151-5597598952384888832-2399198459758-10057-A-0-1.flv?wsSecret=649b96c4753bd8326e4458b6b0dd2e81&wsTime=65f0a58c&fm=RFdxOEJjSjNoNkRKdDZUWV8kMF8kMV8kMl8kMw%3D%3D&ctype=huya_live&txyp=o%3Awx91%3B&fs=bgct
圣斗士集解说,http://1.62.64.252/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/tx.flv.huya.com/src/1199616332329-1199616332329-5671318535557611520-2399232788114-10057-A-0-1.flv?wsSecret=9a3a7b871aff3ace005617009e128479&wsTime=65f0ac8c&fm=RFdxOEJjSjNoNkRKdDZUWV8kMF8kMV8kMl8kMw%3D%3D&ctype=huya_live&txyp=o%3Awx91%3B&fs=bgct
足球小将解说,http://1.62.64.252/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/tx.flv.huya.com/src/2391983955-2391983955-10273492859281735680-4784091366-10057-A-0-1.flv?wsSecret=2055709cb6e5f7aec5a247475de2ee79&wsTime=65f0a91e&fm=RFdxOEJjSjNoNkRKdDZUWV8kMF8kMV8kMl8kMw%3D%3D&ctype=huya_live&txyp=o%3Awx91%3B&fs=bgct
足球小将剧集,http://43.138.170.29:35455/douyu/997925
灌篮高手解说,http://43.138.170.29:35455/douyu/9837291
叮当全集解说,http://43.138.170.29:35455/douyu/9445279
叮当轮播剧集,http://1.62.64.252/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/tx.flv.huya.com/src/1524418078-1524418078-6547325790441177088-3048959612-10057-A-0-1.flv?wsSecret=51c470d75a45f1dacbfee47f45367bc5&wsTime=65f0a36b&fm=RFdxOEJjSjNoNkRKdDZUWV8kMF8kMV8kMl8kMw%3D%3D&ctype=huya_live&txyp=o%3Awx91%3B&fs=bgct
料理小当家集,http://43.138.170.29:35455/douyu/8231658
柯南剧场版集,http://43.138.170.29:35455/douyu/6484910
四驱兄弟剧集,http://1.62.64.252/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/tx.flv.huya.com/src/1423782104-1423782104-6115097573310070784-2847687664-10057-A-0-1.flv?wsSecret=8d6be7d611dcb1ae60524ae2b1405b63&wsTime=65f0b183&fm=RFdxOEJjSjNoNkRKdDZUWV8kMF8kMV8kMl8kMw%3D%3D&ctype=huya_live&txyp=o%3Awx91%3B&fs=bgct
猫和老鼠剧集,http://1.62.64.252/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/tx.flv.huya.com/src/1423782038-1423782038-6115097289842229248-2847687532-10057-A-0-1.flv?wsSecret=01112860ab83fedab1d899fa3864d350&wsTime=65f0c07d&fm=RFdxOEJjSjNoNkRKdDZUWV8kMF8kMV8kMl8kMw%3D%3D&ctype=huya_live&txyp=o%3Awx91%3B&fs=bgct
蜡笔小生剧集,http://1.62.64.252/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/tx.flv.huya.com/src/1423787878-1423787878-6115122372451237888-2847699212-10057-A-0-1.flv?ctype=tars_mp&fs=bgct&seqid=3177512563195&sv=2024031304&t=102&uid=1467236339903&uuid=1345385512&ver=1&wsSecret=c3b2f677c1d77023a64e64825996f1ad&wsTime=65f112df&fm=RFdxOEJjSjNoNkRKdDZUWV8kMF8kMV8kMl8kMw%3D%3D&ctype=huya_live&txyp=o%3Awx91%3B&fs=bgct
头文字D剧场,http://1.62.64.252/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/tx.flv.huya.com/src/1423782053-1423782053-6115097354266738688-2847687562-10057-A-0-1.flv?wsSecret=1815cc546ecf0536e7ea7d08266e308c&wsTime=65f0a9cf&fm=RFdxOEJjSjNoNkRKdDZUWV8kMF8kMV8kMl8kMw%3D%3D&ctype=huya_live&txyp=o%3Awx91%3B&fs=bgct
Q版三国剧集,http://1.62.64.252/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/tx.flv.huya.com/src/1239543150226-1239543150226-11134998973134143488-2479086423908-10057-A-0-1.flv?wsSecret=60070d18723e1262878855a5c5002701&wsTime=65f0ca48&fm=RFdxOEJjSjNoNkRKdDZUWV8kMF8kMV8kMl8kMw%3D%3D&ctype=huya_live&txyp=o%3Awx91%3B&fs=bgct

抖音电台,#genre#
电台轮播1,https://pull-l3.douyincdn.com/third/stream-691230181394219487_or4.flv?auth_key=1710885063-0-0-6e1ecd324e536a8d7a6ab44285484971&abr_pts=-800&_session_id=037-20240313062103BAD3270D4B1D233F98E7.1710282107952.90602
电台直播2,http://43.138.170.29:35455/douyu/7011290
电台轮播3,https://pull-flv-l11.douyincdn.com/third/stream-402998190133739996_or4.flv?expire=1710807940&sign=75d7119d82328ae86b21932f3d635cec&select_mode=score&pre_q=md&abr_pts=29444000&_session_id=037-20240312082540AF163A3BE3E6F15766C4.1710203153473.87311&TxLiveCode=cold_stream&TxDispType=3&svr_type=live_oc&tencent_test_client_ip=113.101.136.242&dispatch_from=OC_MGR183.61.247.22&utime=1710203157794
电台轮播4,https://pull-flv-l11.douyincdn.com/third/stream-114770425926123996_or4.flv?expire=1710846127&sign=6a3caf708cf8705c74ed347fa87a9e20&select_mode=score&pre_q=md&abr_pts=28710032&_session_id=037-20240312190206006D72A5B8CE0CCFC8CE.1710241333562.19861&TxLiveCode=cold_stream&TxDispType=3&svr_type=live_oc&tencent_test_client_ip=113.101.136.242&dispatch_from=OC_MGR183.61.248.190&utime=1710241334265
电台轮播5,https://pull-f3.douyincdn.com/third/stream-691230980929749675_or4.flv?auth_key=1710845998-0-0-5d23344e4a16a21d1c47fd4d2bc0ba9d&_session_id=037-20240312192958182FC1C80D4A220E94CA.1710243021471.69841&abr_pts=-800&ali_dispatch_cold_stream=on&ali_redirect_ex_hot=66666100&ali_stream_type=00&ali_stream_type_ring=&ali_orig_station=cn2317&ali_302c=700&ali_st=cn2309&ali_ts=1710243022
电台轮播6,https://pull-flv-f1.douyincdn.com/third/stream-114772674878112427.flv?keeptime=00093a80&wsSecret=df0c02b79b90d9cbd2e4d8a5b98198ee&wsTime=65f0d5fe&select_mode=score&pre_q=md&abr_pts=36114065&_session_id=037-202403130623581004534B5AEFFD288492.1710282246424.41028
电台轮播7,http://1.62.64.252/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/tx.flv.huya.com/src/1199579199216-1199579199216-0-2399158521888-10057-A-1709469570-1.flv?wsSecret=54b5c43151177738ad70aa8a014f1ff5&wsTime=65f0c595&fm=RFdxOEJjSjNoNkRKdDZUWV8kMF8kMV8kMl8kMw%3D%3D&ctype=huya_live&txyp=o%3Awx91%3B&fs=bgct
电台轮播8,https://v2u48ixzc2c0rvwl3kq4ko9twe37o8cd6.mobgslb.tbcache.com/ali-adaptive.pull.yximgs.com/gifshow/cCRTozHyDcY_ShowAvcHdL1.flv?kabr_spts=-5000&pullDomain=ali-adaptive.pull.yximgs.com&sidc=204245&auth_key=1710340964-0-0-57a1258d91deaec14f11dc9d5e05e1d1&fd=1&oidc=watchmen&ss=s20&tsc=origin&ali_dispatch_cold_stream=on&ali_redirect_ex_hot=66666100&ali_stream_type=00&ali_stream_type_ring=&ali_orig_station=cn2085&ali_302c=700&ali_st=cn873&ali_ts=1710254574

视觉效果,#genre#
3D1,https://vd3.bdstatic.com/mda-mfnc43q5ngnzua6p/sc/cae_h264/1624437508830556235/mda-mfnc43q5ngnzua6p.mp4
3D2,https://vd2.bdstatic.com/mda-kfhr50vjwtmttwxc/v1-cae/sc/mda-kfhr50vjwtmttwxc.mp4
3D3,https://vd4.bdstatic.com/mda-mdfijn4crxseyky0/1080p/cae_h264/1618549960/mda-mdfijn4crxseyky0.mp4
3D4,https://vd2.bdstatic.com/mda-kmtfv6y5gctpa35w/sc/mda-kmtfv6y5gctpa35w.mp4
3D5,https://vd3.bdstatic.com/mda-kksk814vwc1m06av/sc/mda-kksk814vwc1m06av.mp4
3D大片,https://vd2.bdstatic.com/mda-ki2cvyhz79rw40wg/v1-cae/sc/mda-ki2cvyhz79rw40wg.mp4
3D电影,https://vd3.bdstatic.com/mda-kj0kfvyty9dk9nk0/v1-cae/sc/mda-kj0kfvyty9dk9nk0.mp4
3D裸眼,https://vd2.bdstatic.com/mda-kka520dkkf8mrujz/sc/mda-kka520dkkf8mrujz.mp4
3D裸眼2,https://vd4.bdstatic.com/mda-mdfijn4crxseyky0/sc/mda-mdfijn4crxseyky0.mp4
长津湖,https://vd3.bdstatic.com/mda-mgq3kek3j2cr07w7/sc/cae_h264_nowatermark/1627180666806871183/mda-mgq3kek3j2cr07w7.mp4
终结者,https://vd3.bdstatic.com/mda-jk1hupziz0524rq1/mda-jk1hupziz0524rq1.mp4
3D投影1,https://vd4.bdstatic.com/mda-ncuizu4wfrjswzxp/720p/h264_delogo/1648560283895563574/mda-ncuizu4wfrjswzxp.mp4
3D投影2,https://vd4.bdstatic.com/mda-ncuiyrw7qj9x5w3z/720p/h264_delogo/1648560203494563586/mda-ncuiyrw7qj9x5w3z.mp4
功夫之王,https://vdse.bdstatic.com//92bd4a8082ab3cb7e96e1d852bc0d5f4.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2022-05-07T19%3A35%3A37Z%2F-1%2Fhost%2Fbac03dc21a0ea989035da20433039cdcc82efc3a5773df7c4dbcf4d6b6d62443
龙腾虎跃,https://vd2.bdstatic.com/mda-nb48vhn84vq41zf3/1080p/cae_h264_delogo/1644042257215201305/mda-nb48vhn84vq41zf3.mp4
视觉艺术,https://vd2.bdstatic.com/mda-ncj8cwfhcr4zyrfd/sc/cae_h264_delogo/1647755833056552862/mda-ncj8cwfhcr4zyrfd.mp4
东京-新宿,https://vd4.bdstatic.com/mda-na6metzpvv5xqh6h/1080p/cae_h264/1641623274673701803/mda-na6metzpvv5xqh6h.mp4
生物多样性,https://vd3.bdstatic.com/mda-ne6irx2irbjbbr6v/sc/cae_h264/1651932935194074079/mda-ne6irx2irbjbbr6v.mp4
艺术科技感,https://vd3.bdstatic.com/mda-ncrw9pciw60jymyd/sc/cae_h264_delogo/1648329992682771558/mda-ncrw9pciw60jymyd.mp4
变形金刚1,https://vd3.bdstatic.com/mda-khb9j4g6c25biyqj/v1-cae/1080p/mda-khb9j4g6c25biyqj.mp4
变形金刚UHD,https://vd3.bdstatic.com/mda-nd6k8tnavw6sj0a5/720p/h264_delogo/1649341231263414752/mda-nd6k8tnavw6sj0a5.mp4
变形金刚LD,https://vd3.bdstatic.com/mda-nd6k8tnavw6sj0a5/1080p/cae_h264_delogo/1649341416696755483/mda-nd6k8tnavw6sj0a5.mp4
变形金刚2K,https://vd3.bdstatic.com/mda-nd6k8tnavw6sj0a5/qhd/cae_h264_delogo/1649341416716222901/mda-nd6k8tnavw6sj0a5.mp4
变形金刚4K,https://vd3.bdstatic.com/mda-nd6k8tnavw6sj0a5/uhd/cae_h264_delogo/1649341416749683469/mda-nd6k8tnavw6sj0a5.mp4
X战警:黑凤凰,https://vd2.bdstatic.com/mda-jetjizur4bnmfux8/hd/mda-jetjizur4bnmfux8.mp4
Dreamcatcher,https://vd3.bdstatic.com/mda-mbiqgzsnfeyv74y6/v1-cae/1080p/mda-mbiqgzsnfeyv74y6.mp4
大地恩情,#genre#
⬇️80大地恩情⬇️,http://rihou.cc:555/lndj.mp4
家在珠江粤01,https://vip.ffzy-play.com/20221209/31605_0706f9df/index.m3u8
家在珠江粤02,https://vip.ffzy-play.com/20221209/31606_96fabe4f/index.m3u8
家在珠江粤03,https://vip.ffzy-play.com/20221209/31607_cbe413e6/index.m3u8
家在珠江粤04,https://vip.ffzy-play.com/20221209/31608_32c89ec4/index.m3u8
家在珠江粤05,https://vip.ffzy-play.com/20221209/31609_387a6eea/index.m3u8
家在珠江粤06,https://vip.ffzy-play.com/20221209/31610_b4501fc6/index.m3u8
家在珠江粤07,https://vip.ffzy-play.com/20221209/31611_f1a7dcd8/index.m3u8
家在珠江粤08,https://vip.ffzy-play.com/20221209/31612_29140186/index.m3u8
家在珠江粤09,https://vip.ffzy-play.com/20221209/31613_7f0aa3dd/index.m3u8
家在珠江粤10,https://vip.ffzy-play.com/20221209/31614_5bc895aa/index.m3u8
家在珠江粤11,https://vip.ffzy-play.com/20221209/31615_da4f9199/index.m3u8
家在珠江粤12,https://vip.ffzy-play.com/20221209/31616_95970eb3/index.m3u8
家在珠江粤13,https://vip.ffzy-play.com/20221209/31617_ba21dfb7/index.m3u8
家在珠江粤14,https://vip.ffzy-play.com/20221209/31618_13e20d6f/index.m3u8
家在珠江粤15,https://vip.ffzy-play.com/20221209/31619_ae941c27/index.m3u8
家在珠江粤16,https://vip.ffzy-play.com/20221209/31620_9f9b0368/index.m3u8
家在珠江粤17,https://vip.ffzy-play.com/20221209/31621_6af667b7/index.m3u8
家在珠江粤18,https://vip.ffzy-play.com/20221209/31622_439627e3/index.m3u8
家在珠江粤19,https://vip.ffzy-play.com/20221209/31623_9a2973d8/index.m3u8
家在珠江粤20,https://vip.ffzy-play.com/20221209/31624_a05fa525/index.m3u8
家在珠江粤21,https://vip.ffzy-play.com/20221209/31625_f39f2f1f/index.m3u8
家在珠江粤22,https://vip.ffzy-play.com/20221209/31626_9ec65d5c/index.m3u8
